id,label,ref_id,pred_label,fident,bitscore,evalue,score
sp|P26683|SIGA_NOSS1,0,Q31ME3,0,0.906,908,1.17E-265,0.114213836
VFG007156,1,VFG000194,1,0.858,235,5.62E-64,0.029559748
VFG007971,1,VFG008618,1,0.897,869,2.36E-260,0.109308176
VFG042011,1,NP_212232.1,0,0.825,137,1.95E-33,0.017232704
VFG010431,1,VFG023116,1,0.873,1063,7.705e-316,0.133710692
VFG041305,1,fig|169963.11.peg.670|lmo0650|VBILisMon69206_0670|,1,0.531,412,4.84E-115,0.051823899
gi|15610113|ref|NP_217492.1|,1,Q83CW4,0,0.837,590,6.58E-171,0.074213836
VFG042877,1,VFG038455,1,0.89,428,5.58E-122,0.053836478
sp|Q6NCE6|RL32_RHOPA,0,YP_001054075.1,0,0.745,116,1.46E-27,0.014591195
sp|E9RGS4|SECF_VIBAL,0,P0AG93,0,0.859,957,1.39E-285,0.120377358
sp|O87943|BSSA_THAAR,0,A0A031WDE4,0,0.743,1662,0,0.209056604
sp|Q5SHP2|RS19_THET8,0,P75576,0,0.633,108,1.57E-24,0.013584906
sp|P40011|RRAAH_YEAST,0,A5W059,0,0.652,362,7.51E-101,0.045534591
sp|P25377|ADH7_YEAST,0,P20368,0,0.855,1096,0,0.137861635
VFG006137,1,VFG019679,1,0.773,346,3.25E-96,0.043522013
VFG015305,1,VFG041961,1,0.806,1001,3.42E-294,0.12591195
VFG007424,1,VFG014524,1,0.808,320,4.91E-89,0.040251572
sp|A0A2I1BSW8|NVFC_ASPN1,0,B6HV34,0,0.926,936,6.87E-286,0.117735849
sp|P25971|PYRF_BACSU,0,Q5L0U0,0,0.966,889,3.17E-272,0.111823899
VFG012131,1,VFG019146,1,0.78,2948,0,0.37081761
